text,location,interest
jailer malaysia gross approx rm1021m set become time no1 tamil movie terms gross surpassing kabali amp bigil current top 3 kabali rm1268m bigil rm1268m ps1 rm 1258m,,entertainment
asking 2point0 malaysia weekly summary rentrak mobilecomcore opening weekend 1319405 two weekends 1850000 closing gross 1985419 mr8308000 none indian movie crossed 16mr,Kuala Lumpur,entertainment
harolddas leo movie trending across globe youtube 1 canada 1 india 4 singapore 5 sri lanka 5 malta 7 australia 8 malaysia 15 united states actorvijay,,entertainment
kingofkotha waiting big release malaysia hopefully movie biggest grosser dulquer malaysia,,entertainment
jailer movie rankings malaysia bo day 1 day 4 1 day 5 day 7 2 watch night bookings seremban bukit tinggi rawang nu mentakab alor setar,Selangor,entertainment
far 4 movies officially announced distributors 1 2point0 16 mil myr 2 ps1 500k ticket admits 3 thunivu 1 million 1st day 4 jailer 10 mil myr,,entertainment
jailer malaysia movie gone past 10000000mr approx 22mn still going strong blockbuster,,entertainment
jailer holds collected indian movie malaysia first week time record jailerborampage jailerblockbuster,,entertainment
jailer holds collected indian movie malaysia first week time record,,entertainment
jailer collected indian movie tgv history robo part 1,,entertainment
jailer holds collected indian movie malaysia first week time record,,entertainment
betsmovie international version trailer cominggggg layxnomorebets,,entertainment
jailer ranked 2 malaysia box office gscinemas day 5 showtimes 2270 shows 146 locations day 6 showtimes 1974 shows 145 locations first indian movie get record weekend opening belongs jailer superstarrajinikanth rajinikanth nelsondilpkumar,,entertainment
malaysia besty befirst 1st movie betheone opens 825 japan amp asia cinemas exclusive gscinemas 825fri 8pm 826sat2pm amp 8pm 827sun2pm amp 8pm befirstofficial befirstthemovie sota shunto ryuhei manato junon ryoki leo,,entertainment
pov youre watching movie bed choose youd like munch,,entertainment
jailer movie night shows gsc cinemas 14823 1884 admits 72 shows 920pm onwards gross almost rm31k night show gsc jailer rajinikanth nelsondilpkumar anirudhofficial mohanlal nimmashivanna release lotusfivestarav fstofficialmy,,entertainment
singa kutty sutha thanga katti solla ponaa namma thalapathy malaysia coming lah get ready malikstreams set present prestigious movie leo malaysia happy associated malikstreams leowithmalikstreams thalapathy actorvijay,,entertainment
leo malaysia release malikstreams,,entertainment
leo malaysia release malikstreams gon na thalapathys actorvijay highest bo grossing movie malaysia,,entertainment
leo malaysia release malik streams corporation leoflim actorvijay,,entertainment
malikstreams vtlteam 7screenstudio jagadishbliss actorvijay trishtrashers anirudhofficial biggest ever indian movie release malaysia records broken leo thalapathy68 actorvijay,,entertainment
leo set biggest ever indian movie release malaysia distribution malik streams humongous,,entertainment
august 12th saturday jailer grossed myr 3 million malaysia highest single day gross tamil movie ever,,entertainment
august 12th saturday jailer grossed myr 3 million malaysia highest single day gross tamil movie ever,,entertainment
jailer alltime no1 opening weekend tamil movie malaysia,,entertainment
end 4day opening weekend jailer highest grossing tamil movie malaysia 2023,,entertainment
historical dream run indian movie malaysia history tgv officially announcing sessions added entire tgv outlets malaysia jailer record breaker jailer jailerblockbuster,,entertainment
highest grossing non pan indian telugu movies overseas country usa avpl us361m 257cr uaegcc k150 us696k 47cr aus avpl a497k 26cr uk svp 198k 19cr canada svp us246k 19cr nz slne nz36k 18l malaysia maharshi myr90k 15l,,entertainment
befirst 1st movie betheone opens 825 japan amp asia cinemas ryuhei besty lets march goal towards world excl gscinemas malaysia 825fri 8pm 826sat2pm amp 8pm 827sun2pm amp 8pm sota shunto manato junon ryoki leo,,entertainment
got official info distributor jailer opening day highest grosser tamil movie malaysia rajinikanth anirudhofficial nelsondilpkumar,,entertainment
jailer no1 malaysia indian movie top 10,,entertainment
jailer full purchase marketing cost fully covered breakeven happened within 2 days biggest blockbuster decade malaysia indian movie jailerblockbuster congratulations lotus five star sembian sunpictures,,entertainment
streak continues jailer potential break ps1 collection emerge collected indian movie malaysia jailer already created biggest opening indian movie time malaysia jailerblockbuster,,entertainment
malaysian distributor announced jailer biggest ever opening tamil movie malaysia superstarrajinikanth thalaivarnirandharam jailerblockbuster rajinikanth nelsondilpkumar anirudhofficial sunpictures,,entertainment
top 3 biggest overseas market tamil films 1 uaegcc 2 na 3 malaysia big tamil movie aim 100cr gross 3 markets alone leo,,entertainment
befirst 1st movie betheone opens 825 japan amp asia cinemas shunto trust go stage befirst members exclusive gscinemas malaysia 825fri 8pm 826sat2pm amp 8pm 827sun2pm amp 8pm befirstofficial besty,,entertainment
said rampage biggest ever opening tamil movie malaysia history jailer rajinikanth superstarrajinikanth nelsondilpkumar anirudhofficial mohanlal nimmashivanna,,entertainment
boxoffice mayhem malaysia jailer registers biggest ever opening tamil movie malaysian cinema history unbelievable stuff superstarrajnikanth,,entertainment
biggest ever opening tamil movie malaysian history jailer cinemas,,entertainment
mileapo mansuang trend 13082023 8pm 7pm mansuangboxofficehit kw ready chatkhem 12 days go movie lets send love best wishes successful release nnattawin milephakphum nnattawin1 milephakphum,,entertainment
support actor doh kyungsoo boss lay zhang since movies entering malaysia cinemas,,entertainment
jailer plot rajinikanth movie attracting lot non indian theatres well,,entertainment
movie lovers thalaivar fans baasha election promo baasha trademark gesture inked finger get popcorn rm5 lets responsible amp vote wisely valid lfs cinema locations jailer undiperpaduan prunegeri pic,,entertainment
malaysia leo pre release event announced soon actorvijay attending,,entertainment
befirst 1st movie betheone opens 825 japan amp asia cinemas sota like life creates emotions music exclusive gsc cinemas malaysia 825fri 8pm 826sat2pm amp 8pm 827sun2pm amp 8pm befirstofficial besty,,entertainment
jailer box office numbers huge leading karnatakaandhratelanganakeralausacanadamalaysia overseas come jailer vijay movies tamil nadu gold coins trackers underplay rajinikanth bo numbers tamil nadu,,entertainment
leo prerelease event takes place malaysia actorvijay attending event leofilm thalapathyvijay,,entertainment
leo produced spotted malaysia chances al event happen,,entertainment
leo movie producer lalitkumar spotted malaysia recently actorvijay 7screenstudio,,entertainment
first time 450 shows 48 loc allocated indian movie gscinemas evening show 5pm jailer day 2 getting rampage bookings showtimes since friday johor gsc allocate almost 72 shows main 4 multiplex johor 30min drive,Johor,entertainment
