text,location,interest
Going to a technology conference in Kuala Lumpur,Kuala Lumpur,Technology
Watching a football match in Johor Bahru,Johor,Sports
Trying a famous local food in Penang,,Food
Attending a music concert in Kuala Lumpur,Kuala Lumpur,Entertainment
Following the latest political news in KL,,Politics
Studying for an upcoming exam in Selangor,Selangor,Education
Exploring new technology trends in KL,,Technology
Playing basketball with friends in Penang,,Sports
Trying a popular restaurant in Melaka,Melaka,Food
Watching a movie at a cinema in KL,,Entertainment
Participating in a political rally in Sabah,Sabah,Politics
Attending a workshop on education in KL,,Education
Reading articles on the latest gadgets,,Technology
Playing soccer with a local team in Johor,Johor,Sports
Cooking a traditional dish in Perak,Perak,Food
Going to a comedy show in KL,,Entertainment
Discussing political issues with friends in Selangor,Selangor,Politics
Attending a seminar on education in KL,,Education
Trying out a new software in Penang,,Technology
Swimming at a water park in Selangor,Selangor,Sports
Having a seafood feast in Terengganu,Terengganu,Food
Watching a live performance in KL,,Entertainment
Following the latest political updates on social media,,Politics
Studying for a science exam in Pahang,Pahang,Education
Reading tech blogs and articles online,,Technology
Playing badminton with friends in Penang,,Sports
Trying a new dessert place in Selangor,Selangor,Food
Going to a music festival in KL,,Entertainment
Participating in a political discussion forum,,Politics
Attending a workshop on language teaching in KL,,Education
I just bought the latest iPhone!,,Technology
The football match was thrilling!,,Sports
Trying out the new sushi place.,,Food
Watching a great movie tonight.,,Entertainment
The election results are out.,,Politics
Preparing for my final exams.,,Education
Upgrading my laptop's RAM.,,Technology
Attending a basketball game.,,Sports
Exploring local street food.,,Food
Enjoying a concert with friends.,,Entertainment
Political rally in my town.,,Politics
Attending a workshop on coding.,,Education
Just got a new smartphone.,,Technology
Playing soccer at the park.,,Sports
Trying a new recipe at home.,,Food
Watching a stand-up comedy show.,,Entertainment
Analyzing the latest economic data.,,Politics
Studying for a science exam.,,Education
Excited about the new gaming console.,,Technology
Hiking in the nearby mountains.,,Sports
Visiting a famous food street.,,Food
Attending a live music performance.,,Entertainment
Following the latest political news.,,Politics
Preparing for a language exam.,,Education
Just got a new smartwatch.,,Technology
Playing badminton with friends.,,Sports
Trying out a new dessert place.,,Food
Watching a movie at the cinema.,,Entertainment
Discussing political issues with friends.,,Politics
Participating in a workshop on art.,,Education
Just visited the iconic Petronas Twin Towers!,,Technology
Watching a thrilling football match at Larkin Stadium.,,Sports
Indulging in some mouthwatering Nasi Lemak.,,Food
Enjoying a night of traditional dance performances.,,Entertainment
Excited about the upcoming general elections.,,Politics
Attending a workshop on traditional batik art.,,Education
Exploring the vibrant streets of Penang.,,Technology
Cheering for the local football team at a match.,,Sports
Trying the famous Ipoh Chicken Rice.,,Food
Enjoying a comedy show at a popular comedy club.,,Entertainment
Discussing current political issues with friends.,,Politics
Participating in a traditional Malay dance workshop.,,Education
Just got the latest smartphone model.,,Technology
Playing sepak takraw with friends.,,Sports
Trying the famous Durian at a local market.,,Food
Watching a live traditional Wayang Kulit performance.,,Entertainment
Following the latest updates on national politics.,,Politics
Studying for a history exam on Malaysian culture.,,Education
Excited about the launch of a new tech startup.,,Technology
Hiking in the beautiful Cameron Highlands.,,Sports
Visiting the bustling Jonker Street in Melaka.,Melaka,Food
Attending a live music performance by local artists.,,Entertainment
Keeping up with the latest political developments.,,Politics
Preparing for a language exam on Bahasa Malaysia.,,Education
Just got the new Malaysian-made smartwatch.,,Technology
Playing badminton with friends at a local court.,,Sports
Trying out the famous Penang Assam Laksa.,,Food
Watching a classic Malay movie at the cinema.,,Entertainment
Engaging in discussions about social issues.,,Politics
Attending a traditional dance performance in Sarawak.,Sarawak,Education
Exploring the historical Melaka A Famosa Fort.,Melaka,Technology
Practicing my badminton skills at the state stadium.,,Sports
Enjoying a hearty plate of Char Kway Teow.,,Food
Attending a traditional dance show at Istana Budaya.,,Entertainment
Discussing the latest political developments in Malaysia.,,Politics
Attending a workshop on traditional Malaysian batik art.,,Education
Exploring the bustling Petaling Street market.,,Technology
Cheering for the local football team in Kedah.,Kedah,Sports
Trying the famous Sarawak Laksa at a local eatery.,Sarawak,Food
Enjoying a traditional Mak Yong dance performance.,,Entertainment
Following the latest updates on Malaysian politics.,,Politics
Learning traditional Malaysian music with a local tutor.,,Education
Excited about the launch of a Malaysian tech startup.,,Technology
Playing Sepak Raga with friends at the beach.,,Sports
Indulging in the famous Penang Cendol dessert.,,Food
Attending a live Ghazal music performance.,,Entertainment
Discussing the state elections in Sarawak.,Sarawak,Politics
Learning traditional Malay dance for a cultural event.,,Education
Trying out the latest Malaysian-made smartphone.,,Technology
Playing football with friends at the beach.,,Sports
Savoring the delectable Nasi Kerabu.,,Food
Watching a live Mak Yong performance.,,Entertainment
Keeping up with the latest political news in Malaysia.,,Politics
Preparing for a Bahasa Malaysia language exam.,,Education
Just got the new Malaysian-designed smartwatch.,,Technology
Playing traditional Sepak Takraw at the park.,,Sports
Trying out the famous Johor Laksa.,Johor,Food
Watching a classic Malaysian film at the cinema.,,Entertainment
Engaging in discussions about social issues in Sabah.,Sabah,Politics
Attending a traditional dance show in Kelantan.,Kelantan,Education
"I'm up to this but first thing first, dare to have a one school objective and education? No more SJK or international school what so ever. Just 1 school, 1 objective...",,Education
"PENGKHIANAT/汉奸 hàn jian When I was 18, I got called to a JPA scholarship interview. A fellow interviewee in the same room, a Malay girl from outside of KL, told me she felt sad on how it would be hard for me to get a scholarship cuz of the quota. ",,Education
Siva Prakash Ramasamy knows the only way out of hardship is through education.,,Education
"candidates to support their education for a five-year programme. The scholarship aid will be paid annually in installments of $12,000 for both undergraduate, master’s, and doctoral students. *Scholarship Details: The Scholarship is an annual tuition fee discount for the normal",,Education
"Students' socio-economic background affects their daily lives and their opportunities to receive a quality education, putting them at a disadvantage compared to other peers. Learning becomes a challenge when some need to work to support their families.",,Education
