text,location,interest
#Jailer - Malaysia  - Gross approx RM10.21M - All set to become the all time No.1 tamil movie in terms of gross surpassing #Kabali &amp  #Bigil   Current Top 3: #Kabali - RM12.68M #Bigil - RM12.68M #PS1 - RM 12.58M,,entertainment
"Those Who Asking #2Point0 Malaysia  WEEKLY SUMMARY  By Rentrak Mobile(Comcore)   Opening  Weekend $1,319,405 Two Weekends       $1,850,000 Closing Gross  $1,985,419 MR8,308,000  None Of Indian Movie Has Crossed 16MR Here. https://t.co/5MSJIA1nQ9",Kuala Lumpur,entertainment
#HaroldDas from Leo movie trending across the globe in YouTube.   #1 Canada #1 India #4 Singapore #5 Sri Lanka #5 Malta #7 Australia #8 Malaysia #15 United States  @actorvijay https://t.co/Sf5voWpP8I,,entertainment
#KingOfKotha  Waiting for big release in Malaysia. Hopefully this movie can be the biggest grosser for @dulQuer in Malaysia. https://t.co/MddhxH389Z,,entertainment
"#Jailer movie rankings Malaysia BO.  Day 1 to Day 4 =  No. 1 Day 5 to Day 7 = No. 2  Watch out for night bookings at seremban, Bukit tinggi, Rawang, Nu, Mentakab, Alor Setar.. 👏👍💪 https://t.co/brisZMx2Xx",Selangor,entertainment
So far 4 movies officially been announced by distributors.  1. #2Point0 - 16 Mil+ MYR  2. #PS1 - 500k ticket admits 3. #Thunivu - 1 Million (1st Day) 4. #Jailer - 10 Mil+ MYR,,entertainment
"#Jailer Malaysia 🔥🔥  The movie has gone past  10,000,000MR (Approx $2.2Mn+) and still going strong.  Blockbuster 💥💥",,entertainment
#Jailer Holds The Most Collected Indian Movie In Malaysia For The First Week ( All Time Record )  #JailerBORampage #JailerBlockbuster,,entertainment
#Jailer Holds The Most Collected Indian Movie In Malaysia For The First Week ( All Time Record ) https://t.co/03n3HTkQVa,,entertainment
#Jailer is the most collected Indian movie in tgv history  After Robo Part 1,,entertainment
#Jailer Holds The Most Collected Indian Movie In Malaysia For The First Week ( All Time Record ),,entertainment
《No More Bets》Movie International Version Trailer  IT'S COMINGGGGG!!!!!!! \(≧▽≦)/💜💜💜🎉🎉🎉  #LAYxNoMoreBets https://t.co/D74yuRTH4C,,entertainment
"#Jailer ranked at No. 2 in Malaysia Box Office @GSCinemas  Day 5 showtimes - 2,270 shows from 146 locations  Day 6 showtimes - 1,974 shows from 145 locations  First Indian movie to get record weekend opening belongs to #Jailer  #SuperstarRajinikanth @rajinikanth @Nelsondilpkumar… https://t.co/vouB0rFWRg",,entertainment
#Malaysia #BESTY  #BEFIRST 1st Movie #BEtheONE opens 8/25 in Japan &amp  Asia cinemas!  Exclusive  @GSCinemas  8/25(Fri) 8pm 8/26(Sat)2pm &amp  8pm 8/27(Sun)2pm &amp  8pm  🎟️  https://t.co/4HkvRLx4HO  @BEFIRSTofficial @BEFIRSTthemovie #SOTA #SHUNTO #RYUHEI #MANATO #JUNON #RYOKI #LEO https://t.co/wlGQQrL69c,,entertainment
"POV: You’re watching a movie on your bed, choose which you’d like to munch on 🤤 https://t.co/r9PzEyNnWl",,entertainment
"#Jailer movie night shows at GSC cinemas. (14.8.23)  1,884 admits from 72 shows (9.20pm onwards).  Gross almost Rm31k from night show (GSC only).  #Jailer @rajinikanth @Nelsondilpkumar @anirudhofficial @Mohanlal @NimmaShivanna  Release by @LotusFivestarAV @fstofficialmy https://t.co/kHCODbga62",,entertainment
"Singa kutty, sutha thanga katti, solla ponaa namma Thalapathy 🔥 Malaysia, We’re coming lah 😎  Get ready as @malikstreams is all set to present our prestigious movie #LEO in Malaysia 🤩  Happy to be associated with #MalikStreams 😊  #LEOwithMalikStreams   #Thalapathy @actorvijay…",,entertainment
#Leo Malaysia Release by @malikstreams 🔥 https://t.co/ZbWDdpXHI0,,entertainment
#Leo Malaysia Release by @malikstreams 🤩🔥..!   This gonna be the Thalapathy's @actorvijay Highest BO Grossing Movie in Malaysia 💯🎯..! https://t.co/GaSVvS4iQf,,entertainment
