text,location,interest
".@_IUofficial ranks in the Top 5 of multiple countries globally on 2023 Popular Hallyu Stars ranking surveyed by the Ministry of Culture, Sports and Tourism.  She appears in lists from US, England, Taiwan, Malaysia, South Africa, China and more. https://t.co/ju3aXuW0Bt",,Sports
"There’s a lot going on my mind and lots more I want to say about the sport we love.  For now, Sea Games is still on, Sudirman Cup just around the corner and Malaysia Masters soon.   Not forgetting the start of the Olympic Qualification.  The athletes need us more than ever.",,Sports
"📍Malaysia  Through our #SportNet methodology, we celebrated training sessions to 39 coaches from all over the country. 🇲🇾 The methodology uses sports and other physical activities as a medium for children to empower equal participation and social inclusion. https://t.co/CGeA2Tir4e",,Sports
FOMO (Fear Of Losing Out)  It was a journey that started in a cramped boat as he &amp  his family fled Vietnam in the 70’s.  He landed in Hong Kong with his father  while his mother &amp  3 siblings went to Malaysia.  Escaping the war torn Vietnam was the goal for them.  #OdogwuTales https://t.co/4rOCOE2xCy,,Sports
"South Korea Ministry of Culture, Sports and Tourism ranked #BIGBANG as one of the most popular male groups in multiple countries on their 2023 list  #2 Malaysia  #2 Vietnam  #2 Australia  #2 Canada  #2 Germany  #3 UK https://t.co/NMBoIPv1AK",,Sports
I would like to commend the initiative by the Youth and Sports Minister YB Hannah Yeoh and the Ministry (KBS) to ensure stadiums in Malaysia have good football fields.   [1/7] https://t.co/nieAcDaIyK,,Sports
"You guys i cant believe that my face is now on JD sports Store in Singapore, Malaysia and Thailand i literally made it i wanna cry https://t.co/RQXHPd41y6",,Sports
FIH Odisha Hockey Men’s World Cup 2023  📢 Latest Update   CROSSOVER MATCH  Sunday - 22 Jan 2023  Malaysia vs Spain  7.00 PM (Malaysia Time)  📸 : FIH / World Sports Pic https://t.co/1OK6PXKxtu,,Sports
Malaysia if mental gymnastics was an olympic sport https://t.co/N7gUoEI0z6,,Sports
JUST IN  The volleyball coach who was recently taped slapping two of his players has been temporarily suspended from further involvement in the sport.     The Malaysia Volleyball Association said an investigative body to examine the incident will be set up immediately.,,Sports
AFF no live on National TV @RTM_Malaysia   But showed Qatar World Cup...  Support to our Malaysian sports is imminent &amp  prerequisite.   Take note next month Msian Hockey Team will be playing in World Cup...  Hope there is live!  @fahmi_fadzil @hannahyeoh   @RTM_Malaysia,,Sports
"To my dearest friend @hannahyeoh, all the best in KBS.   Give it all for the youth and our sports of Malaysia 🇲🇾! https://t.co/tPu5twpFOe",,Sports
@AlexirwanI @TansuYegen Coughing* excuse me?! Sepak takraw is originally from Malaysia (Tanah Melayu) in 15th century in the Malay sultanate of Malacca. Malay annals(sejarah melayu). The 16th century was spread across Indonesia Don’t you claim our sport as your origin.,,Sports
"First JD SPORTS Store in EAST MALAYSIA has officially opened at Vivacity Megamall, Kuching Sarawak. https://t.co/DB92DpSPD4",Sarawak,Sports
"We Are The Only Fan Club Currently Giving Importance For Sports Among Youngsters 😉  This Is The Fourth Time, Malaysia Ajith Fan Club Is Hosting Sports Event For Public &amp  To Ajithkumar Sir Fans Nationwide ⚽️🔥 #ThunivuFutsal   #Thunivu •#NoGutsNoGlory• #AjithKumar https://t.co/co2djxhhhd",,Sports
"THANK YOU @pschan88 , YEE SEE &amp  YEN WEI ❤️  National mixed doubles players, Chan Peng Soon, Peck Yen Wei and Cheah Yee See, have decided to chart their own destiny in the sport by opting to become independent players.  Read in FULL 👉🏻 https://t.co/78VQJs4slM  #BadmintonMalaysia https://t.co/LSduInSMeM",,Sports
"We're coming to you this Malaysia Day!  VICTORxLZJ collection is coming with 7 items including racquet bags, T-shirt, wristbands, sports towels, socks, caps, and water bottles. https://t.co/zdjG0oalxz",,Sports
"I'm proud to be a LZJ fan because I'm a Malaysian sports fan first and foremost.  As long as an athlete or a team is representing Malaysia, I will support him/her 100%.",,Sports
Malaysia not only needs more future talents in sport but also needs more sport journalists like him.🙌🏼🇲🇾  #Mondaymotivation https://t.co/tFACifevJf,,Sports
In the Special Episode of RUN BTS 2022 They mentioned SEPAK TAKRAW which is common sport in Malaysia  Acc to the source the sport was introduced in the 1965 Southeast Asian Game in Kuala Lumpur as a medal event. It also considered Malaysia’s national sport  #runbtscomeback https://t.co/9oTq1xfgPX,Kuala Lumpur,Sports
