text,location,interest
"So, there was an attempt hari tu to act like I was a smart, deep tech entrepreneur and follow these brilliant folks to convince a bunch of really important senior guys our perspective of the deep tech and startups scene in Malaysia. I think my startup t-shirt manage to fool them.",,technology
"MOSTI and Cradle ni are clueless about what’s going in Malaysia’s tech talent ke?  Came up with MyStartup Dev but have no idea what’s happening on grassroot level or engage.  End up, sign up with actually run and managed by expats.   So do you want more expats or local talents??",,technology
High-Tech exports by country:  🇨🇳 China: $942b 🇭🇰 Hong Kong: $431b 🇩🇪 Germany: $209b 🇺🇸 USA: $169b 🇰🇷 South Korea: $164b 🇸🇬 Singapore: $160b 🇯🇵 Japan: $116b 🇲🇾 Malaysia: $108b 🇻🇳 Vietnam: $101b 🇳🇱 Netherlands: $101b 🇫🇷 France: $97b 🇲🇽 Mexico: $75b 🇬🇧 UK: $66b 🇧🇪 Belgium: $52b 🇮🇹…,,technology
High-tech exports by country:  🇨🇳 China: $942b 🇭🇰 Hong Kong: $431b 🇩🇪 Germany: $209b 🇺🇸 USA: $169b 🇰🇷 South Korea: $164b 🇸🇬 Singapore: $160b 🇯🇵 Japan: $116b 🇲🇾 Malaysia: $108b 🇻🇳 Vietnam: $101b 🇳🇱 Netherlands: $101b 🇫🇷 France: $97b 🇲🇽 Mexico: $75b 🇬🇧 UK: $66b 🇧🇪 Belgium: $52b 🇮🇹…,,technology
"Tbh, Malaysia have many tech talents and we don’t actually need to focus on creating even more tech talents.   What we need though are following:- - Match right talent to right company - Pay them right wage  - Prevent tech talent exodus - Upskill or match right skills to them",,technology
"How I Make £180,000 As A Tech Consultant In London  Grew up extremely poor in Somali  Went to university in Malaysia for $800  Graduated in IT but works in a call centre  2015, moves to UK with family on a £30,000 salary  Now  makes £180,000 a year  https://t.co/wwkTvVyzlC..",,technology
@POTUS High-tech exports by country:  🇨🇳 China: $942b 🇭🇰 Hong Kong: $431b 🇩🇪 Germany: $209b 🇺🇸 USA: $169b 🇰🇷 South Korea: $164b 🇸🇬 Singapore: $160b 🇯🇵 Japan: $116b 🇲🇾 Malaysia: $108b 🇻🇳 Vietnam: $101b 🇳🇱 Netherlands: $101b 🇫🇷 France: $97b 🇲🇽 Mexico: $75b 🇬🇧 UK: $66b 🇧🇪 Belgium: $52b 🇮🇹…,,technology
"In Borneo, indigenous communities are using mapping tech to claim their land rights and fight oil palm plantations  A+ reporting from Sarawak, Malaysia by @Liani_MK, who received a feature reporting fellowship last year. Stunning photography by @mfimages   https://t.co/I78zRCsvTv",Sarawak,technology
"@bernamadotcom @drsheikhmuszaph I support thos type of mission but we hope it could defer when we have technology or science team can test their own experiment on space. Hope can resources goes to rnd malaysia on argo, tech and tourism. Once got constant revenue, we can send more ppl to space.",,technology
"Countries push back against US’s anti-China tech policy.  Officials from the European Union, Malaysia and Singapore at Global Tech Day summit, say their countries will continue to build tech and trade ties with Beijing.  #China #Beijing #tech   https://t.co/C4eIfF1Uz7 https://t.co/I8VJmnSLTI",,technology
"Countries push back against #US’s anti #China tech policy  Officials from the #EuropeanUnion, #Malaysia and #Singapore at Global Tech Day summit say their countries will continue to build tech and trade ties with Beijing.  For Malaysia, China is an important trading partner,”… https://t.co/fC1brDbjkf""",,technology
"I mean, they tried it in Cyberjaya but failed.  Most big tech companies now are choosing KL Sentral  as their hub in Malaysia.  Why? Near public transportation.   TikTok alone has around 3k employees in their office @ KL Sentral.   Imagine perlu office with 3k parking lot. Woah",Kuala Lumpur,technology
"Kudos to the organizing committee, led by MOSTI-affiliated agencies and strategic industry partners, for their successful support of the Malaysia MADANI inspiration through the Space Tech Nexus programs, notably The Langkawi International Space Forum (LISF) 2023.   #LISF2023 https://t.co/1w2oGM1BT7",,technology
"Over the last 2 weeks we had the opportunity to meet with hundreds of institutional investors across Asia in Singapore, Malaysia, Thailand, Hong Kong, Taiwan, and South Korea. The appetite for US Big Tech stocks was a positive tone around owning US tech stocks and AI core theme.",,technology
"Had a great 2 weeks visiting Asia with investors across Singapore, Malaysia, Thailand, Hong Kong, Taiwan, and South Korea.   Big Tech, AI arms race, Tesla, and US Tech vs China Tech were key topics that came up again and again.  Thx for a great few weeks! Heading home now ✈️ 🏙",,technology
"Great to be in Kuala Lumpur Malaysia this week meeting many investors and talking Big Tech, Tesla, and the AI arms race as part of a 2 week investor tour across Asia https://t.co/Eo8IS2XAiS",Kuala Lumpur,technology
